[{2164818226.py:58} INFO - Sin procesar |City: palma de mallorca |Zipcode: 07007 | Orden del dataframe: 23
[2022-03-15 01:03:20,721] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: palma de mallorca |Zipcode: 07007 | Orden del dataframe: 24
[{2164818226.py:58} INFO - Sin procesar |City: palma de mallorca |Zipcode: 07007 | Orden del dataframe: 24
[2022-03-15 01:03:20,722] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: palma de mallorca |Zipcode: 07007 | Orden del dataframe: 25
[{2164818226.py:58} INFO - Sin procesar |City: palma de mallorca |Zipcode: 07007 | Orden del dataframe: 25
[2022-03-15 01:03:20,722] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: palma de mallorca |Zipcode: 07007 | Orden del dataframe: 26
[{2164818226.py:58} INFO - Sin procesar |City: palma de mallorca |Zipcode: 07007 | Orden del dataframe: 26
[2022-03-15 01:03:20,723] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: VALENCIA |Zipcode: 46023 | Orden del dataframe: 27
[{2164818226.py:58} INFO - Sin procesar |City: VALENCIA |Zipcode: 46023 | Orden del dataframe: 27
[2022-03-15 01:03:20,724] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: San Vicente del Raspeig |Zipcode: 03690 | Orden del dataframe: 28
[{2164818226.py:58} INFO - Sin procesar |City: San Vicente del Raspeig |Zipcode: 03690 | Orden del dataframe: 28
[2022-03-15 01:03:20,725] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: San Vicente del Raspeig |Zipcode: 03690 | Orden del dataframe: 29
[{2164818226.py:58} INFO - Sin procesar |City: San Vicente del Raspeig |Zipcode: 03690 | Orden del dataframe: 29
[2022-03-15 01:03:20,725] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 30
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 30
[2022-03-15 01:03:20,726] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 31
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 31
[2022-03-15 01:03:20,726] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 32
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 32
[2022-03-15 01:03:20,726] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 33
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 33
[2022-03-15 01:03:20,727] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 34
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 34
[2022-03-15 01:03:20,727] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 35
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 35
[2022-03-15 01:03:20,728] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 36
[{2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 36
[2022-03-15 01:03:20,728] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: EL RAAL |Zipcode: 30139 | Orden del dataframe: 37
